"","LN.me","LN.sd","SP.me","SP.sd"
"13.5",80.5154684364631,4.88171633359079,1.31015543370406,0.205162383316227
"14",80.241423458978,4.90303728392158,1.30928967845689,0.205394590930075
"14.5",80.1022034754364,4.90343009380028,1.30719687620606,0.204365943311851
"15",79.9629834918948,4.91211251525893,1.30928967845689,0.204967473998018
"15.5",79.9620794343419,4.92875502974052,1.31015543370406,0.204889823246576
"16",79.9611753767891,5.00644692264648,1.31102118895123,0.203800968933823
"16.5",79.7720171930109,5.01721908326623,1.31389324762422,0.202856855109854
"17",79.9611753767891,5.18858703298214,1.31676530629722,0.201776490516158
"17.5",79.9620794343419,5.37265592156692,1.32087368706974,0.200711745332164
"18",79.9629834918948,5.41372105520433,1.32498206784225,0.199677908174362
"18.5",79.9620794343419,5.39060078603885,1.32087368706974,0.201109102112669
"19",79.9611753767891,5.37115286753571,1.31676530629722,0.202039742343507
"19.5",79.7720171930109,5.34852106694969,1.31389324762422,0.201798736050752
"20",79.5828590092326,5.32230064167544,1.31102118895123,0.201681170035167
"20.5",79.5652028292248,5.30611485559278,1.31015543370406,0.202073023806515
"21",79.547546649217,5.28482031223469,1.30928967845689,0.201964093727278
"21.5",79.53870232656,5.25948944820224,1.30719687620606,0.201428649146671
"22",79.547546649217,5.24156240042082,1.30510407395523,0.2008198701463
"22.5",79.5652028292248,5.23122032400143,1.30331915683966,0.200545158040641
"23",79.5828590092326,5.20665333976059,1.3015342397241,0.200128872598883
"23.5",79.5652028292248,5.18402161154689,1.30128564270364,0.199456782134858
"24",79.547546649217,5.16562258062867,1.30103704568317,0.198642554255039
"24.5",79.53870232656,5.16127727045345,1.30128564270364,0.198151820331521
"25",79.529858003903,5.14869165553702,1.3015342397241,0.197343777374725
"25.5",79.5079332394183,5.15150910570302,1.30331915683966,0.196462991521813
"26",79.4860084749336,5.18566044721848,1.30510407395523,0.19561912626167
"26.5",79.4457174779594,5.20933839390145,1.30719687620606,0.194776947069217
"27",79.4054264809852,5.23052593906509,1.30928967845689,0.194078516910432
"27.5",79.4040169108382,5.23748539190547,1.31015543370406,0.193396837036001
"28",79.4026073406911,5.21544595113277,1.31102118895123,0.192564249843568
"28.5",79.3568821691345,5.19415281761077,1.31389324762422,0.191763864941506
"29",79.3111569975779,5.2010499820468,1.31676530629722,0.191003400367268
"29.5",79.3040601467075,5.17971963223446,1.31389324762422,0.190298779773623
"30",79.3111569975779,5.16913024107069,1.31102118895123,0.189855421700942
"30.5",79.4026073406911,5.19399395694389,1.30928967845689,0.190397034913799
"31",79.4026073406911,5.20891596218785,1.30510407395523,0.190628301203632
"31.5",79.4054264809852,5.20750928128328,1.3015342397241,0.190681185013584
"32",79.4860084749336,5.18780874885739,1.30103704568317,0.190938244545698
"32.5",79.529858003903,5.17719194027508,1.28927947216867,0.191237729871471
"33",79.547546649217,5.17628907168919,1.28927947216867,0.191495177321343
"33.5",79.9611753767891,5.17914021958102,1.28927947216867,0.191695017332509
"34",79.9629834918948,5.17730918745036,1.28927947216867,0.191979210573215
"34.5",80.241423458978,5.17552010356902,1.28927947216867,0.19223443226271
"35",80.6263982828646,5.17659681852637,1.27895720152467,0.192604099932958
"35.5",80.7895134139482,5.17310270494578,1.27895720152467,0.193661582357708
"36",80.7895134139482,5.15977477972884,1.27895720152467,0.193697505776515
"36.5",80.7895134139482,5.15278112558942,1.27895720152467,0.193757867691536
"37",80.8151006812092,5.15221309342353,1.27895720152467,0.193614701494557
"37.5",80.8915913191124,5.15150388642178,1.27895720152467,0.192730439362887
"38",80.8915913191124,5.14910124728656,1.27895720152467,0.192894782595819
"38.5",80.8915913191124,5.12997719543104,1.27895720152467,0.193907289253656
"39",80.8915913191124,5.12788898010791,1.27895720152467,0.194150373026242
"39.5",80.8151006812092,5.12842061845227,1.27895720152467,0.194130759705659
"40",80.8151006812092,5.2142287250428,1.28927947216867,0.193581468451014
"40.5",81.0936055940423,5.29418353860725,1.3015342397241,0.193311808579936
"41",81.0936055940423,5.29097762610115,1.30510407395523,0.192871823587534
"41.5",81.0936055940423,5.2943245758697,1.30510407395523,0.192866014349135
"42",80.8151006812092,5.32574137415226,1.30510407395523,0.192892766356981
"42.5",80.6263982828646,5.36580252582818,1.30928967845689,0.193757657650774
"43",80.6091204958787,5.37291828086634,1.30928967845689,0.194283317059698
"43.5",80.241423458978,5.37047143453153,1.30928967845689,0.194249606242977
"44",80.241423458978,5.38146146480131,1.30928967845689,0.194220129666707
"44.5",80.241423458978,5.38261472932026,1.30928967845689,0.194151876767148
"45",79.9629834918948,5.38120452386347,1.31102118895123,0.194141083397082
"45.5",79.9629834918948,5.40797377783054,1.31102118895123,0.196144659401944
"46",79.9629834918948,5.43711394443686,1.31102118895123,0.197604177495893
"46.5",79.9611753767891,5.41058239594685,1.31102118895123,0.188560326068453
"47",79.529858003903,5.37072761907296,1.31102118895123,0.181259492638111
"47.5",79.529858003903,5.36389836272067,1.31102118895123,0.181445707466856
"48",79.529858003903,5.25802643403447,1.31102118895123,0.178675441804466
"48.5",79.529858003903,5.14797465395626,1.31102118895123,0.175676545153278
"49",79.529858003903,5.14243992079576,1.31102118895123,0.175669600986513
"49.5",79.529858003903,5.13875225761909,1.30711271026882,0.175714014074839
"50",79.529858003903,5.13896974149191,1.30510407395523,0.175919195762383
"50.5",79.529858003903,5.13407357372452,1.30510407395523,0.176069728351786
"51",79.4860084749336,5.13015758672121,1.30510407395523,0.175970315258252
"51.5",79.4091844779871,5.12657412692194,1.30711271026882,0.176190167396794
"52",79.4054264809852,5.12376994812338,1.31442195302994,0.17659784162447
"52.5",79.4026073406911,5.17130900211275,1.31656472672184,0.17645109290426
"53",79.2286384671243,5.14998561373065,1.31656472672184,0.176399826902501
"53.5",79.2286384671243,5.04304961118677,1.31656472672184,0.17667343016106
"54",79.2286384671243,4.96257714035436,1.31656472672184,0.17688141688182
"54.5",79.2286384671243,4.97017271077019,1.31656472672184,0.176840029809081
"55",79.2286384671243,4.96456268169955,1.31656472672184,0.17535328754366
"55.5",79.2286384671243,4.95139565301228,1.31656472672184,0.174264777597669
"56",79.2286384671243,4.98346050984174,1.31656472672184,0.175343605339042
"56.5",79.2286384671243,5.03315804679996,1.31656472672184,0.175674252039482
"57",79.2286384671243,5.04522887797408,1.31656472672184,0.17564988634782
"57.5",79.2286384671243,5.04189435862981,1.31442195302994,0.175627478757578
"58",79.2286384671243,5.0218554410308,1.31442195302994,0.170089762609276
"58.5",79.203885873575,5.01501398442907,1.31442195302994,0.159362019186439
"59",79.1159571855187,5.01604812118954,1.30711271026882,0.158312847308226
"59.5",79.1159571855187,5.01134911051671,1.30447147884012,0.156977485317758
"60",79.1159571855187,4.96146210230994,1.30447147884012,0.150842645834876
"60.5",79.1159571855187,4.96343697573656,1.29275405406758,0.14415970350617
"61",79.1159571855187,4.99375657441829,1.29275405406758,0.141616417524582
"61.5",79.1159571855187,4.97682259847908,1.28927947216867,0.139266893007987
"62",79.1159571855187,4.9545381232029,1.28016170702951,0.138333248918387
"62.5",79.1159571855187,4.92846869860743,1.27895720152467,0.13706448125747
"63",79.203885873575,4.92376924843845,1.27895720152467,0.136972015177324
"63.5",79.203885873575,4.89353834370295,1.28016170702951,0.136682691657821
"64",79.2286384671243,4.85182171693733,1.28927947216867,0.136417928915562
"64.5",79.2286384671243,4.82364750044816,1.28927947216867,0.136269090490818
"65",79.4026073406911,4.81858013828089,1.28016170702951,0.1376611434003
"65.5",79.4026073406911,4.82171589279324,1.28016170702951,0.138658422676471
