"","LN.me","LN.sd","SP.me","SP.sd"
"0",70.4106771708669,2.70441767298173,1.14721296679237,0.149361394663783
"0.5",70.4351741387066,2.71737586160083,1.14536032490916,0.148741236662426
"1",70.4596711065463,2.69979489046144,1.14350768302594,0.148392648405635
"1.5",70.4351741387066,2.68394735956966,1.13543445071865,0.147717807691585
"2",70.4106771708669,2.66308373145271,1.12736121841135,0.146887197957755
"2.5",70.3737750247865,2.6426030791341,1.1258941486564,0.145918647780636
"3",70.336872878706,2.62298132752404,1.12442707890145,0.144940145827966
"3.5",70.2962384509752,2.61025471067807,1.12319889116989,0.143983469301989
"4",70.2556040232443,2.64424525117857,1.12442707890145,0.142942772337022
"4.5",70.218302049135,2.63517419062106,1.12319889116989,0.142318611786236
"5",70.1810000750257,2.62006948461439,1.12197070343833,0.141493447366548
"5.5",70.1094106006549,2.62522548472007,1.12319889116989,0.140626070814683
"6",70.0378211262842,2.64336941708385,1.12442707890145,0.139663621811274
"6.5",69.9800335581164,2.65110842559526,1.1258941486564,0.138756203918804
"7",69.9222459899486,2.6611491737343,1.12736121841135,0.138051283688158
"7.5",69.918618849606,2.68775241445911,1.13543445071865,0.137149237814285
"8",69.9149917092633,2.69867771858615,1.14350768302594,0.136256978196419
"8.5",69.8374806427138,2.70300372232235,1.14114686963635,0.135418049665483
"9",69.7599695761644,2.7040747653518,1.14350768302594,0.134549940348844
"9.5",69.648173486447,2.69805575160607,1.14536032490916,0.133714469730611
"10",69.7599695761644,2.68131652778093,1.14350768302594,0.132932588628049
"10.5",69.8374806427138,2.69283675477346,1.14536032490916,0.132127926159445
"11",69.9149917092633,2.69562962624958,1.14721296679237,0.131330726037366
"11.5",69.918618849606,2.68017280491065,1.14854652355271,0.130751755407647
"12",69.9222459899486,2.67097491146759,1.14988008031305,0.129979666762998
"12.5",69.9240588764131,2.66646503688065,1.15001143393973,0.129220884734012
"13",69.9258717628776,2.6549172617633,1.15014278756641,0.128665528888682
"13.5",69.9240588764131,2.63973503061348,1.15031765494779,0.128134532836609
"14",69.9222459899486,2.62496022247833,1.15049252232918,0.127408560642353
"14.5",69.918618849606,2.61054088684529,1.15136828704564,0.126747731280206
"15",69.9149917092633,2.59999841948922,1.15224405176211,0.12610606157669
"15.5",69.8374806427138,2.5958613507783,1.15340028252331,0.125612945723355
"16",69.7599695761644,2.60311870995585,1.15455651328452,0.125743633085493
"16.5",69.662126953699,2.60685599172836,1.15539364656179,0.125163242221773
"17",69.5642843312336,2.60264027476933,1.15455651328452,0.124541284439402
"17.5",69.5503308639816,2.59268343426138,1.15539364656179,0.124525944559265
"18",69.5363773967296,2.58509614753257,1.15623077983907,0.124983963093578
"18.5",69.4906070541086,2.58357871143109,1.15677455510159,0.124681854741477
"19",69.4448367114875,2.57834341651039,1.1573183303641,0.124468778923364
"19.5",69.4110234845527,2.57015230189196,1.15736383438187,0.125315311608632
"20",69.3772102576179,2.56329172514882,1.15740933839964,0.126633490465011
"20.5",69.3687321271167,2.56196610234567,1.15939387725606,0.126734110225302
"21",69.3602539966154,2.55248897435627,1.16137841611247,0.126449653547965
"21.5",69.2777808802442,2.541167536484,1.16319965919766,0.126314990854979
"22",69.1953077638729,2.53162275166178,1.16502090228284,0.126061033889381
"22.5",69.0284534486235,2.52091009538497,1.16665384223744,0.125511409885656
"23",68.8615991333741,2.51200378127922,1.16828678219203,0.124926109481837
"23.5",69.0284534486235,2.55942876931116,1.17320142414352,0.125736229802882
"24",69.1953077638729,2.63646889866284,1.17811606609501,0.1270158999337
"24.5",69.2777808802442,2.67500205474923,1.18000134766286,0.128361858263378
"25",69.3602539966154,2.68424804257165,1.1818866292307,0.128548039249305
"25.5",69.2958729006693,2.67245759601443,1.18000134766286,0.128480898058125
"26",69.3602539966154,2.6614675980269,1.1818866292307,0.12797858564043
