"","LN","Sharpness","score1","score2","score3"
"0",67.5851638854748,1.12736121841135,NA,42.2225641983643,3.45438783147939e-06
"0.5",72.2373144513811,1.1573183303641,91.3371188821407,90.947199930611,0.00217151212597045
"1",73.8584514857967,1.16828678219203,99.1808191156441,14.2810113644824,0.0204561722196898
"1.5",71.4763232682386,1.18764335215338,63.2980547077168,97.4434434713325,0.000764419607962702
"2",67.1061360238268,1.19858673548629,0.00246288464605272,15.4830374710942,1.82741626861314e-06
"2.5",68.6155841957203,1.41925564593438,0.00691898874618484,0.0845691609330828,1.33350965597676e-05
"3",70.4106771708669,1.55535162207117,0.00119629441369185,0.000120246383969263,3.14033325705009e-05
"3.5",71.0685079645022,1.48790566024988,0.100103694048461,0.00249856002866306,0.000255017574149696
"4",71.5153414134792,1.25470364480531,65.2440105984153,63.1455247678363,0.000810352729964066
"4.5",71.9707905294604,1.18378600235006,85.7151655921685,89.3112273011122,0.00151265138964055
"5",72.0492321668599,1.3203354065169,75.8693448644352,5.15114585954012,0.0016845314593781
"5.5",71.5946772926677,1.32598679184947,57.8952796414606,4.29285200394392,0.000897923248781984
"6",71.0685079645022,1.29970251389867,35.7676680767858,14.4483132045173,0.000435869839335673
"6.5",72.0069266615472,1.52474263662982,0.0418269337958557,0.000198902423991712,0.000536706301601278
"7",74.3988904761978,1.5186483365396,0.0634689683062763,2.79459022719039e-06,0.016290919305304
"7.5",73.5219353774503,1.43538093705105,2.90046441690017,0.00238481186387609,0.0111107575341916
"8",69.5363773967296,1.37270448202598,0.42627600956213,0.888547516279733,5.11780652082028e-05
"8.5",68.0033047292464,1.36264129292966,0.011324068391902,1.10401252804929,6.19846050436687e-06
"9",68.0467314026994,1.32483451076088,0.0226975064531983,7.69349571526631,6.6768559629151e-06
"9.5",67.235585614721,1.38919789699997,0.000694784359299331,0.227568861086643,2.0961998416263e-06
"10",64.7923056120634,1.25895623495758,6.62721564975329e-06,0.196609872414626,7.49494478348546e-08
"10.5",66.0975496217244,1.34311835488529,0.000127835494542456,0.199913893486638,4.49595218601928e-07
"11",68.4799690655495,1.3459682266783,0.0537081827708776,2.69538662194673,1.20732047807387e-05
"11.5",67.7082904603249,1.27828665970272,0.0112227715030718,39.552672341425,4.20705971252616e-06
"12",76.3482556778462,0.95411859468371,0.495628435558159,0.000178272895126579,0.140561011632456
"12.5",76.5992455840238,0.94369792968505,0.240727530820958,4.93191709980901e-05,0.157328258809294
"13",70.0378211262842,1.08231794233085,3.08245293178791,96.1971381458653,9.55299384654182e-05
"13.5",69.9222459899486,1.11165737602966,2.90125441769626,99.1030625388545,8.58801496467755e-05
"14",69.3602539966154,1.04863413196871,0.281162642319785,79.6341931162207,3.27678793620429e-05
"14.5",68.4378289759757,1.08964806136563,0.0585510135588479,92.5355623794529,1.06568295980563e-05
"15",70.5067582031712,1.10422861919341,11.2355182662206,98.1585843780075,0.000190676403869214
"15.5",70.8627424996482,1.08726883946548,20.5610486958947,94.8898147643124,0.000302206435220889
"16",69.1953077638729,1.06097984735535,0.255934044929146,85.0293473075451,2.77496621487533e-05
"16.5",68.0962023484189,1.08549924725082,0.0234425013556562,89.7872294453417,6.58540674567533e-06
"17",67.9410389855975,1.16137841611247,0.0206128365505639,92.9470048392649,5.74882765580027e-06
"17.5",70.6574462512514,1.19299371282225,17.6309078687184,97.3421380421253,0.000246795505203464
"18",71.333991254172,1.14721296679237,53.7278601633926,88.9853903566148,0.000620850943008692
"18.5",68.631455429894,1.05571022802716,0.0535058264106092,77.9508211265165,1.24286355187012e-05
"19",66.140030448649,1.09860237813307,0.00017813750163034,12.1788037049751,4.53292816777778e-07
"19.5",66.667565918848,1.10297131755321,0.000704529664218453,37.803280516797,9.46133137602422e-07
"20",68.2293404802837,1.16502090228284,0.0431013383480271,97.694537564833,8.57111422742826e-06
"20.5",70.5311133645956,1.12442707890145,12.7779779981649,97.1018067400749,0.000201788932556156
"21",71.1270013274936,1.02597796601201,6.92226019688531,33.9631490744584,0.000318869487092556
"21.5",70.2556040232443,1.006687819374,0.540025484768771,15.865903419759,7.77266511360091e-05
"22",70.4596711065463,1.03320449292229,2.50032645587803,40.8922389538667,0.000134829292271146
"22.5",71.3175409098481,1.04013787722333,14.9009600411168,31.7805589904444,0.000464172134599651
"23",71.3191867886257,1.03108382880513,10.8528970937777,18.0824794782927,0.000434587336789188
"23.5",70.1810000750257,1.03643292173332,1.46166981930426,34.5204587198125,9.40356357051316e-05
"24",68.0920862427109,1.03969219715092,0.00837056318810615,34.3500755592401,5.37110483245375e-06
"24.5",66.8279799870165,1.03584940912073,0.000290539653987073,19.2097792386842,9.1113526651014e-07
"25",66.3807383718072,1.10307412062124,0.000338827830792372,29.8088162997464,6.3668157869075e-07
"25.5",65.6120392076992,1.15224405176211,5.35187415095212e-05,6.79269290343276,2.29480740354982e-07
"26",65.5949181320504,1.08297051845908,3.82478545890856e-05,4.46134837438299,2.06588062456339e-07
"26.5",68.0879689623151,1.03585155940645,0.00725808237133728,25.3897566692653,5.19503045998636e-06
"27",71.926676198763,1.01492641535003,9.0473301816585,5.36360242315415,0.000861643494701131
"27.5",74.1886457739032,1.069784438182,60.1183402748346,0.373395375307023,0.0284488047710377
"28",74.7313748777226,1.15623077983907,98.1065915048455,0.205104621835551,0.0680375898399631
"28.5",73.5783347862949,1.18362769637842,99.3933987965803,3.73022994411686,0.0139381634985628
"29",70.8576455377831,1.19479272593106,26.3031437635528,97.1896982013276,0.000325505644261996
"29.5",72.5398926623079,1.14350768302594,94.2782814694742,35.7275744572654,0.00327894315457424
"30",74.1481206056585,1.1213702347129,94.1205033145965,0.957985459377849,0.0297709732461961
"30.5",73.5501626421955,1.07385681729324,64.452944021606,2.95598291476225,0.0119388378733311
"31",71.3979689661535,1.05172353806211,23.2792349492665,35.2559696237123,0.000556540650875957
"31.5",68.7970576628229,1.07815094882664,0.127705897419219,72.2593566994002,1.70122895292792e-05
"32",69.9149917092633,1.09540976314941,2.59675473341426,87.1821252236917,8.29682455874451e-05
"32.5",70.336872878706,1.11680367026908,8.04191317570116,95.2791683785431,0.00015317729187557
"33",69.7599695761644,1.12197070343833,2.00376593793819,96.8190800098244,6.93841606749224e-05
"33.5",68.5957205681725,1.12142320605581,0.10436513622953,94.6003399959347,1.38831069594612e-05
"34",65.7531233068744,1.15014278756641,7.66257273507704e-05,3.84681939224943,2.78622622638606e-07
"34.5",68.1414021730582,1.07972376208735,0.0244952636145582,63.0305118760321,6.90688108232201e-06
